name,brand,price,Processor Brand,Processor Name,Processor Generation,processor clock speed,Number of Cores,SSD,drive capacity,RAM,Dedicated Graphic Memory Capacity,screen size,Screen Resolution,weight,speakers,touchscreen,microphone,webcam
"ASUS Vivobook 15 OLED Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L301WS Laptop  (15.6 inch, Hearty Gold, 1.80 kg kg, With MS Office)",ASUS,47990,Intel,Core i3,11th Gen,3,2.0,true,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Grey, 1.37 kg, With MS Office)",realme,64990,Intel,Core i5,11th Gen,3.2,,true,512.0,16,,14,3110400.0,1.37,False,True,False,False
"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Green, 1.37 kg, With MS Office)",realme,64990,Intel,Core i5,11th Gen,3.2,,true,512.0,16,,14,3110400.0,1.37,False,True,False,False
"realme Book Prime Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) CloudPro002 Thin and Light Laptop  (14 inch, Blue, 1.37 kg, With MS Office)",realme,64990,Intel,Core i5,11th Gen,3.2,,true,512.0,16,,14,3110400.0,1.37,False,True,False,False
"DELL G15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/165 Hz) G15-5511 SE Gaming Laptop  (15.6 inch, Obsidian Black, 2.65 kg, With MS Office)",DELL,103990,Intel,Core i7,11th Gen,2.6,8.0,true,512.0,16,4 GB,15.6,2073600.0,2.65,True,True,True,True
"DELL Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) G15-5515 Gaming Laptop  (15.6 inch, Grey, 2.57 kg, With MS Office)",DELL,69490,AMD,Ryzen 5 Hexa Core,,3.2,8.0,true,512.0,8,4 GB,15.6,2073600.0,2.57,True,True,True,True
"Avita SATUS Celeron Dual Core - (4 GB/128 GB SSD/Windows 11 Home) NU14A1INC43PN-MB Laptop  (14.1 Inch, Matt Black)",Avita,21990,Intel,Celeron Dual Core,,,,true,128.0,4,,14.1,2073600.0,,True,True,True,True
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM501WS Thin and Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With MS Office)",ASUS,74990,Intel,Core i5,12th Gen,4.5,8.0,true,512.0,16,,14,5184000.0,1.50,True,True,True,True
"ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM702WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 kg, With MS Office)",ASUS,94990,Intel,Core i7,12th Gen,3.0,6.0,true,512.0,16,,14,5184000.0,1.50,True,True,True,True
"ASUS Zenbook 14 OLED (2022) Intel EVO Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402ZA-KM531WS Thin and Light Laptop  (14 inch, Ponder Blue, 1.39 kg, With MS Office)",ASUS,89990,Intel,Core i5,12th Gen,1.7,12.0,true,512.0,16,,14,5184000.0,1.39,True,True,True,True
